Year,Player,Tm,defensive_team
2020,Rudy Gobert,Utah Jazz,1
2020,Giannis Antetokounmpo,Milwaukee Bucks,1
2020,Anthony Davis,Los Angeles Lakers,1
2020,Marcus Smart,Boston Celtics,1
2020,Ben Simmons,Philadelphia 76ers,1
2020,Brook Lopez,Milwaukee Bucks,2
2020,Kawhi Leonard,LA Clippers,2
2020,Bam Adebayo,Miami Heat,2
2020,Patrick Beverley,LA Clippers,2
2020,Eric Bledsoe,Milwaukee Bucks,2
2020,* Official Release & voting totals,,2
2019,Rudy Gobert,Utah Jazz,1
2019,Paul George,Oklahoma City Thunder,1
2019,Giannis Antetokounmpo,Milwaukee Bucks,1
2019,Marcus Smart,Boston Celtics,1
2019,Eric Bledsoe,Milwaukee Bucks,1
2019,Jrue Holiday,New Orleans Pelicans,2
2019,Klay Thompson,Golden State Warriors,2
2019,Joel Embiid,Philadelphia 76ers,2
2019,Draymond Green,Golden State Warriors,2
2019,Kawhi Leonard,Toronto Raptors,2
2019,* Official Release & voting totals,,2
2018,Rudy Gobert,Utah Jazz,1
2018,Anthony Davis,New Orleans Pelicans,1
2018,Victor Oladipo,Indiana Pacers,1
2018,Jrue Holiday,New Orleans Pelicans,1
2018,Robert Covington,Philadelphia 76ers,1
2018,Joel Embiid,Philadelphia 76ers,2
2018,Draymond Green,Golden State Warriors,2
2018,Al Horford,Boston Celtics,2
2018,Dejounte Murray,San Antonio Spurs,2
2018,Jimmy Butler,Minnesota Timberwolves,2
2018,* Official Release,,2
2017,Draymond Green,Golden State Warriors,1
2017,Rudy Gobert,Utah Jazz,1
2017,Kawhi Leonard,San Antonio Spurs,1
2017,Chris Paul,Los Angeles Clippers,1
2017,Patrick Beverley,Houston Rockets,1
2017,Tony Allen,Memphis Grizzlies,2
2017,Danny Green,San Antonio Spurs,2
2017,Giannis Antetokounmpo,Milwaukee Bucks,2
2017,Andre Roberson,Oklahoma City THunder,2
2017,Anthony Davis,New Orleans Pelicans,2
2017,* Voting Totals (PDF),,2
2016,Kawhi Leonard,San Antonio Spurs,1
2016,Draymond Green,Golden State Warriors,1
2016,DeAndre Jordan,Los Angeles Clippers,1
2016,Avery Bradley,Boston Celtics,1
2016,Chris Paul,Los Angeles Clippers,1
2016,Paul Millsap,Atlanta Hawks,2
2016,Paul George,Indiana Pacers,2
2016,Hassan Whiteside,Miami Heat,2
2016,Tony Allen,Memphis Grizzlies,2
2016,Jimmy Butler,Chicago Bulls,2
2016,* Voting Totals (PDF),,2
2015,Kawhi Leonard,San Antonio Spurs,1
2015,Draymond Green,Golden State Warriors,1
2015,Tony Allen,Memphis Grizzlies,1
